Año,Mes,Día,Hora,Minuto,Segundo,pm25,calidad_pm25,calidad
2021,01,16,16,00,00,6.1361,1,1,
2021,01,16,17,00,00,9.7387,1,1,
2021,01,16,18,00,00,9.6777,1,1,
2021,01,16,19,00,00,12.0294,1,1,
2021,01,16,20,00,00,14.3843,1,1,
2021,01,16,21,00,00,10.7574,1,1,
2021,01,16,22,00,00,3.5764,1,1,
2021,01,16,23,00,00,11.9114,1,1,
2021,01,17,00,00,00,14.2475,1,1,
2021,01,17,01,00,00,23.6481,1,1,
2021,01,17,02,00,00,33.0105,1,1,
2021,01,17,03,00,00,25.8882,1,1,
2021,01,17,04,00,00,23.5162,1,1,
2021,01,17,05,00,00,52.9238,1,1,
2021,01,17,06,00,00,38.7422,1,1,
2021,01,17,07,00,00,59.7674,1,1,
2021,01,17,08,00,00,23.6540,1,1,
2021,01,17,09,00,00,10.7452,1,1,
2021,01,17,10,00,00,16.8594,1,1,
2021,01,17,11,00,00,12.1195,1,1,
2021,01,17,12,00,00,12.1749,1,1,
2021,01,17,13,00,00,11.0348,1,1,
2021,01,17,14,00,00,9.8649,1,1,
2021,01,17,15,00,00,9.9092,1,1,
2021,01,17,16,00,00,8.6591,1,1,
2021,01,17,17,00,00,7.3798,1,1,
2021,01,17,18,00,00,7.3105,1,1,
2021,01,17,19,00,00,8.4540,1,1,
2021,01,17,20,00,00,8.4170,1,1,
2021,01,17,21,00,00,11.9833,1,1,
2021,01,17,22,00,00,11.9269,1,1,
2021,01,17,23,00,00,13.0911,1,1,
2021,01,18,00,00,00,20.1869,1,1,
2021,01,18,01,00,00,33.1538,1,1,
2021,01,18,02,00,00,27.2134,1,1,
2021,01,18,03,00,00,37.8111,1,1,
2021,01,18,04,00,00,35.4202,1,1,
2021,01,18,05,00,00,37.7584,1,1,
2021,01,18,06,00,00,34.1561,1,1,
2021,01,18,07,00,00,36.4402,1,1,
2021,01,18,08,00,00,26.1689,1,1,
2021,01,18,09,00,00,22.7821,1,1,
2021,01,18,10,00,00,14.4848,1,1,
